run_id,timestamp,algorithm,dataset,iteration,runtime_ms,peak_heap_mb,candidate_count,explored_nodes,total_patterns_found,pruned_swu,pruned_depth,pruned_lar,pruned_iip,pruned_tsu,pruned_peu,pruned_value,pruned_iub,lut_dyn,cub_val,cub_triggered,op_type,prelarge_count,uut_val,sft_val,rescan_count,blocks_read,blocks_skipped,sigma2,rho
IncUSP-Miner+_SIGN_SC5_K=3_strat=EVEN_INIT_0,2026-06-07T13:10:50.258350,IncUSP-Miner+,SIGN,0,13527,9453,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=EVEN_INC_1,2026-06-07T13:11:05.000877,IncUSP-Miner+,SIGN,1,9255,17208,14577238,14588158,249,0,0,0,0,14369720,0,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=EVEN_INC_2,2026-06-07T13:11:22.474682,IncUSP-Miner+,SIGN,2,-1,5453,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INC_OOM,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=EVEN_INC_3,2026-06-07T13:12:46.012246,IncUSP-Miner+,SIGN,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=EVEN_INIT_0,2026-06-07T13:12:46.344200,Pre-HUSPM,SIGN,0,6674,1424,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=EVEN_INC_1,2026-06-07T13:12:53.568397,Pre-HUSPM,SIGN,1,5583,2005,64680458,64680458,249,0,0,0,0,0,64214064,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INC,226059,0.0,5423.697435897433,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=EVEN_INC_2,2026-06-07T13:12:59.642384,Pre-HUSPM,SIGN,2,6070,1330,63020251,63020251,160,0,0,0,0,0,62609486,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INC,197060,0.0,7008.112820512817,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=EVEN_INC_3,2026-06-07T13:13:06.202212,Pre-HUSPM,SIGN,3,13442,56,0,0,174,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=EVEN_INC,135147,0.0,7008.112820512817,2,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=INCREASING_INIT_0,2026-06-07T13:13:27.295033,IncUSP-Miner+,SIGN,0,13570,9408,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=3_strat=INCREASING_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=INCREASING_INC_1,2026-06-07T13:13:42.093992,IncUSP-Miner+,SIGN,1,5751,13104,11803256,11830938,397,0,0,0,0,11570441,0,0,0,0.0,0.0,False,SC5_K=3_strat=INCREASING_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=INCREASING_INC_3,2026-06-07T16:41:54.854098,IncUSP-Miner+,SIGN,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=INCREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=INCREASING_INIT_0,2026-06-07T16:41:55.185129,Pre-HUSPM,SIGN,0,6569,1744,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=3_strat=INCREASING_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=INCREASING_INC_1,2026-06-07T16:42:02.286453,Pre-HUSPM,SIGN,1,6011,2174,72973156,72973156,397,0,0,0,0,0,72422562,0,0,0.0,0.0,False,SC5_K=3_strat=INCREASING_INC,268787,0.0,4755.7589743589715,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=INCREASING_INC_2,2026-06-07T16:42:08.828653,Pre-HUSPM,SIGN,2,5383,1247,58823043,58823043,153,0,0,0,0,0,58421618,0,0,0.0,0.0,False,SC5_K=3_strat=INCREASING_INC,193107,0.0,6202.8410256410225,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=INCREASING_INC_3,2026-06-07T16:42:14.705757,Pre-HUSPM,SIGN,3,19141,56,0,0,174,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=INCREASING_INC,107314,0.0,6202.8410256410225,2,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=DECREASING_INIT_0,2026-06-07T16:42:41.558353,IncUSP-Miner+,SIGN,0,13943,9616,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=DECREASING_INC_1,2026-06-07T16:42:56.719280,IncUSP-Miner+,SIGN,1,11649,20734,16155067,16161272,153,0,0,0,0,15979379,0,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=DECREASING_INC_2,2026-06-07T16:43:19.055343,IncUSP-Miner+,SIGN,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=DECREASING_INC_3,2026-06-07T16:43:19.055762,IncUSP-Miner+,SIGN,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=DECREASING_INIT_0,2026-06-07T16:43:29.723583,Pre-HUSPM,SIGN,0,6353,1877,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=DECREASING_INC_1,2026-06-07T16:43:36.663517,Pre-HUSPM,SIGN,1,5359,676,58823043,58823043,153,0,0,0,0,0,58421618,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INC,193107,0.0,6202.8410256410225,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=DECREASING_INC_2,2026-06-07T16:43:42.515215,Pre-HUSPM,SIGN,2,12388,40,0,0,163,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INC,121049,0.0,6202.8410256410225,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=DECREASING_INC_3,2026-06-07T16:43:55.434788,Pre-HUSPM,SIGN,3,7212,1188,67227632,67227632,174,0,0,0,0,0,66814635,0,0,0.0,0.0,False,SC5_K=3_strat=DECREASING_INC,196856,0.0,8557.189743589739,2,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=BURST_INIT_0,2026-06-07T16:44:08.103178,IncUSP-Miner+,SIGN,0,13595,9504,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=3_strat=BURST_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=BURST_INC_1,2026-06-07T16:44:22.943543,IncUSP-Miner+,SIGN,1,5514,12320,11243765,11275762,421,0,0,0,0,11006037,0,0,0,0.0,0.0,False,SC5_K=3_strat=BURST_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=3_strat=BURST_INC_2,2026-06-07T16:44:34.981676,IncUSP-Miner+,SIGN,2,4885,5160,6634741,14009657,287,0,0,0,0,13778964,0,0,0,0.0,0.0,False,SC5_K=3_strat=BURST_INC,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=BURST_INIT_0,2026-06-07T20:17:49.620484,Pre-HUSPM,SIGN,0,6706,1759,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=3_strat=BURST_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=BURST_INC_1,2026-06-07T20:17:56.872957,Pre-HUSPM,SIGN,1,6374,2360,75147710,75147710,421,0,0,0,0,0,74575762,0,0,0.0,0.0,False,SC5_K=3_strat=BURST_INC,279732,0.0,4647.169230769228,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=BURST_INC_2,2026-06-07T20:18:03.794234,Pre-HUSPM,SIGN,2,6627,80,0,0,287,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=3_strat=BURST_INC,215776,0.0,4647.169230769228,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=3_strat=BURST_INC_3,2026-06-07T20:18:10.952311,Pre-HUSPM,SIGN,3,7363,1546,67227632,67227632,174,0,0,0,0,0,66814635,0,0,0.0,0.0,False,SC5_K=3_strat=BURST_INC,196856,0.0,8557.189743589739,2,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=EVEN_INIT_0,2026-06-07T20:18:26.382065,IncUSP-Miner+,SIGN,0,13746,8824,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=EVEN_INC_1,2026-06-07T20:18:41.423238,IncUSP-Miner+,SIGN,1,6364,13800,12143009,12167709,348,0,0,0,0,11920547,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=EVEN_INC_2,2026-06-07T20:18:54.747753,IncUSP-Miner+,SIGN,2,9299,6672,8141633,15049930,198,0,0,0,0,14849223,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=EVEN_INC_3,2026-06-07T20:19:20.064557,IncUSP-Miner+,SIGN,3,-1,2680,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC_OOM,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=EVEN_INC_4,2026-06-07T20:21:44.174334,IncUSP-Miner+,SIGN,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=EVEN_INC_5,2026-06-07T20:21:44.174759,IncUSP-Miner+,SIGN,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=EVEN_INIT_0,2026-06-07T20:21:44.512436,Pre-HUSPM,SIGN,0,6656,1748,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=EVEN_INC_1,2026-06-07T20:21:51.719411,Pre-HUSPM,SIGN,1,5992,1879,69792243,69792243,348,0,0,0,0,0,69271120,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC,253716,0.0,4898.205128205126,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=EVEN_INC_2,2026-06-07T20:21:58.261559,Pre-HUSPM,SIGN,2,5665,1750,61787381,61787381,198,0,0,0,0,0,61351213,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC,210427,0.0,5757.969230769228,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=EVEN_INC_3,2026-06-07T20:22:04.438010,Pre-HUSPM,SIGN,3,8095,40,0,0,169,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC,142495,0.0,5757.969230769228,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=EVEN_INC_4,2026-06-07T20:22:13.019148,Pre-HUSPM,SIGN,4,7096,1327,61647703,61647703,162,0,0,0,0,0,61253731,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC,188395,0.0,7588.979487179483,3,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=EVEN_INC_5,2026-06-07T20:22:20.625882,Pre-HUSPM,SIGN,5,7901,40,0,0,174,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=EVEN_INC,142120,0.0,7588.979487179483,3,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=INCREASING_INIT_0,2026-06-07T20:22:39.010516,IncUSP-Miner+,SIGN,0,13654,9453,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=INCREASING_INC_1,2026-06-07T20:22:53.892887,IncUSP-Miner+,SIGN,1,2946,7312,6894280,6973017,537,0,0,0,0,6676583,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=INCREASING_INC_2,2026-06-07T20:23:01.159224,IncUSP-Miner+,SIGN,2,5030,7344,8221197,12172731,350,0,0,0,0,11925998,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=INCREASING_INC_3,2026-06-07T20:23:13.695805,IncUSP-Miner+,SIGN,3,9714,6864,8235909,15133646,197,0,0,0,0,14933391,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=INCREASING_INC_4,2026-06-07T20:23:37.936879,IncUSP-Miner+,SIGN,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=INCREASING_INC_5,2026-06-07T20:23:37.940199,IncUSP-Miner+,SIGN,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=INCREASING_INIT_0,2026-06-07T20:23:54.736173,Pre-HUSPM,SIGN,0,6527,2660,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=INCREASING_INC_1,2026-06-07T20:24:01.837074,Pre-HUSPM,SIGN,1,3919,64,0,0,537,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,268186,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=INCREASING_INC_2,2026-06-07T20:24:06.321181,Pre-HUSPM,SIGN,2,6389,2007,69678906,69678906,350,0,0,0,0,0,69158708,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,253287,0.0,4903.210256410254,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=INCREASING_INC_3,2026-06-07T20:24:13.223880,Pre-HUSPM,SIGN,3,5769,1283,61738755,61738755,197,0,0,0,0,0,61303456,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,209967,0.0,5767.917948717945,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=INCREASING_INC_4,2026-06-07T20:24:19.508420,Pre-HUSPM,SIGN,4,10355,32,0,0,160,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,135057,0.0,5767.917948717945,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=INCREASING_INC_5,2026-06-07T20:24:30.349102,Pre-HUSPM,SIGN,5,7483,1365,67227632,67227632,174,0,0,0,0,0,66814635,0,0,0.0,0.0,False,SC5_K=5_strat=INCREASING_INC,196856,0.0,8557.189743589739,3,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=DECREASING_INIT_0,2026-06-07T20:24:48.306523,IncUSP-Miner+,SIGN,0,13643,9488,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=DECREASING_INC_1,2026-06-07T20:25:03.190487,IncUSP-Miner+,SIGN,1,8125,17243,14577238,14588158,249,0,0,0,0,14369720,0,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=DECREASING_INC_3,2026-06-07T22:52:06.061595,IncUSP-Miner+,SIGN,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=DECREASING_INC_4,2026-06-07T22:52:06.065196,IncUSP-Miner+,SIGN,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=DECREASING_INC_5,2026-06-07T22:52:06.065255,IncUSP-Miner+,SIGN,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=DECREASING_INIT_0,2026-06-07T22:52:06.414079,Pre-HUSPM,SIGN,0,7531,1779,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=DECREASING_INC_1,2026-06-07T22:52:14.515087,Pre-HUSPM,SIGN,1,6867,2216,64680458,64680458,249,0,0,0,0,0,64214064,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC,226059,0.0,5423.697435897433,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=DECREASING_INC_2,2026-06-07T22:52:21.886148,Pre-HUSPM,SIGN,2,7188,1651,65467968,65467968,168,0,0,0,0,0,65037034,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC,207414,0.0,6765.210256410253,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=DECREASING_INC_3,2026-06-07T22:52:29.586684,Pre-HUSPM,SIGN,3,8012,40,0,0,161,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC,163981,0.0,6765.210256410253,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=DECREASING_INC_4,2026-06-07T22:52:38.094404,Pre-HUSPM,SIGN,4,8308,1395,67810992,67810992,177,0,0,0,0,0,67389030,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC,201524,0.0,8255.287179487175,3,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=DECREASING_INC_5,2026-06-07T22:52:46.907827,Pre-HUSPM,SIGN,5,2624,44,0,0,174,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=DECREASING_INC,181663,0.0,8255.287179487175,3,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=BURST_INIT_0,2026-06-07T22:52:57.901222,IncUSP-Miner+,SIGN,0,13673,9621,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=BURST_INC_1,2026-06-07T22:53:12.803337,IncUSP-Miner+,SIGN,1,8401,18407,15109243,15118304,208,0,0,0,0,14913778,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=BURST_INC_2,2026-06-07T22:53:30.079874,IncUSP-Miner+,SIGN,2,7351,3272,4772732,16036311,172,0,0,0,0,15847088,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=BURST_INC_3,2026-06-07T22:53:51.108682,IncUSP-Miner+,SIGN,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=BURST_INC_4,2026-06-07T22:53:51.110801,IncUSP-Miner+,SIGN,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=5_strat=BURST_INC_5,2026-06-07T22:53:51.110900,IncUSP-Miner+,SIGN,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=BURST_INIT_0,2026-06-07T22:54:07.581051,Pre-HUSPM,SIGN,0,7699,1489,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=BURST_INC_1,2026-06-07T22:54:15.844824,Pre-HUSPM,SIGN,1,6889,2124,62435995,62435995,208,0,0,0,0,0,61993094,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC,213975,0.0,5695.394871794869,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=BURST_INC_2,2026-06-07T22:54:23.231408,Pre-HUSPM,SIGN,2,3054,44,0,0,173,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC,182590,0.0,5695.394871794869,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=BURST_INC_3,2026-06-07T22:54:26.794576,Pre-HUSPM,SIGN,3,6439,1410,61776732,61776732,157,0,0,0,0,0,61364577,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC,198081,0.0,6413.523076923074,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=BURST_INC_4,2026-06-07T22:54:33.732416,Pre-HUSPM,SIGN,4,16185,32,0,0,179,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC,121159,0.0,6413.523076923074,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC5_K=5_strat=BURST_INC_5,2026-06-07T22:54:50.478025,Pre-HUSPM,SIGN,5,8005,1062,67227632,67227632,174,0,0,0,0,0,66814635,0,0,0.0,0.0,False,SC5_K=5_strat=BURST_INC,196856,0.0,8557.189743589739,3,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INIT_0,2026-06-07T22:55:07.153129,IncUSP-Miner+,SIGN,0,13689,9469,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_1,2026-06-07T22:55:22.076039,IncUSP-Miner+,SIGN,1,4505,10416,9198354,9243447,521,0,0,0,0,8955031,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_2,2026-06-07T22:55:32.115554,IncUSP-Miner+,SIGN,2,3786,4928,5788964,12162339,350,0,0,0,0,11915642,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_3,2026-06-07T22:55:43.610564,IncUSP-Miner+,SIGN,3,5893,3896,5101690,14180163,287,0,0,0,0,13952281,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_4,2026-06-07T22:55:59.036691,IncUSP-Miner+,SIGN,4,10273,3584,5110149,15055889,194,0,0,0,0,14856489,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_5,2026-06-07T22:56:25.086088,IncUSP-Miner+,SIGN,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_6,2026-06-07T22:56:25.086836,IncUSP-Miner+,SIGN,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_7,2026-06-07T22:56:25.086980,IncUSP-Miner+,SIGN,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC5_K=10_strat=EVEN_INC_8,2026-06-07T22:56:25.087262,IncUSP-Miner+,SIGN,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC5_K=10_strat=EVEN_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
